variant_id,path,segment_id,entry_anchor_ms,mid_anchor_ms,exit_anchor_ms,tempo_factor,pitch_semitones,state_suggestion,phase_affinity,calm_final,centroid,rms
seg_0027__tm04__p0,seg_0027__tm04__p0.wav,seg_0027,318,5733,8619,-0.04,0,S3,exhale,0.7,1932.0012463798555,0.0166348125785589
seg_0016__tm04__p-1,seg_0016__tm04__p-1.wav,seg_0016,222,430,7100,-0.04,-1,S3,inhale,0.9999999999999653,366.2286645390324,0.003502347972244
seg_0007__tm04__p-1,seg_0007__tm04__p-1.wav,seg_0007,990,8533,19838,-0.04,-1,S3,inhale,0.997305441164294,1019.0710644504626,0.0080323806032538
seg_0016__tm08__p0,seg_0016__tm08__p0.wav,seg_0016,232,449,7409,-0.08,0,S3,inhale,0.997133110673097,400.41344570725016,0.0034915269352495
seg_0007__tm04__p0,seg_0007__tm04__p0.wav,seg_0007,990,8533,19838,-0.04,0,S3,inhale,0.9950947257143792,1043.6627066286794,0.0087622078135609
seg_0016__t00__p-1,seg_0016__t00__p-1.wav,seg_0016,213,413,6816,0.0,-1,S3,inhale,0.9950838489549236,376.4283285547063,0.003454081248492
seg_0016__tm08__p-1,seg_0016__tm08__p-1.wav,seg_0016,232,449,7409,-0.08,-1,S3,inhale,0.9902591958260752,370.6552437192926,0.0035498414654284
seg_0007__tm08__p0,seg_0007__tm08__p0.wav,seg_0007,1033,8904,20700,-0.08,0,S3,inhale,0.9888430081082198,1110.1542733475596,0.0084146205335855
seg_0016__tm04__p0,seg_0016__tm04__p0.wav,seg_0016,222,430,7100,-0.04,0,S3,inhale,0.9887797332513812,402.44626401467,0.0035114584024995
seg_0007__t00__p0,seg_0007__t00__p0.wav,seg_0007,950,8192,19044,0.0,0,S3,inhale,0.9752460995423534,1069.020168425049,0.0113756209611892
seg_0005__tm08__p-1,seg_0005__tm08__p-1.wav,seg_0005,255,12905,22192,-0.08,-1,S3,inhale,0.9541806039070652,1084.3883813291482,0.0126539813354611
seg_0007__tm08__p-1,seg_0007__tm08__p-1.wav,seg_0007,1033,8904,20700,-0.08,-1,S3,inhale,0.953533151500935,1041.5429544656197,0.0070990500971674
seg_0007__t00__p-1,seg_0007__t00__p-1.wav,seg_0007,950,8192,19044,0.0,-1,S3,inhale,0.9500208342112616,1013.05192646407,0.0079704718664288
